Sıra,Model Name,H,Wtwo,Pone,Ptwo,P,Dxdxg1,W,L,Lone,htwo,Wone,Hone,Mxg2,Mone,T,None,Ntwo,Ntheree,E,Sone,Stwo,Stheree,Sfour,C,Czero,Mrzero,Mpzero,Myzero,Block(g),Rail(g/m),Category
61,HRC 35 FN,48.0,33.0,62.0,82.0,80.0,14x9x12,100.0,111.2,86.2,40.4,34.0,32.0,M10x15,M8,16.0,M6x10,M6x7,P5,12.0,8.0,15.0,17.4,18.1,45.9,82.9,1700.0,1080.0,1080.0,1550.0,6790.0,
62,HRC 45 FN,60.0,37.5,80.0,100.0,105.0,20x14x17,120.0,135.5,102.5,50.7,45.0,39.0,M12x18,M10,19.0,"PT1/8x12,5","M6x10,5",P5,14.0,11.1,18.1,17.3,17.3,71.3,122.1,3200.0,1910.0,1910.0,2747.0,10530.0,
63,HRC 55 FN,70.0,43.5,95.0,116.0,120.0,24x16x18,140.0,155.6,118.6,58.0,53.0,46.0,M14x20,M12,20.0,"PT1/8x14,5","M6x12,5",P5,14.0,12.0,19.5,28.5,29.5,103.4,173.1,5030.0,3120.0,3120.0,5260.0,14060.0,
64,HRC 20 FL,30.0,21.5,40.0,53.0,60.0,"9,5x6x8,5",63.0,87.2,70.2,25.0,20.0,20.0,M6x10,M5,10.0,"M3x7,5","M3x5,5",P4,10.0,6.0,9.4,18.1,18.8,20.4,38.5,415.0,390.0,390.0,504.0,2280.0,
65,HRC 25 FL,36.0,23.5,45.0,57.0,60.0,11x7x9,70.0,105.0,86.0,30.0,23.0,23.0,M8x12,M6,12.0,"M6x7,5","M3x6,5",P4,12.0,8.0,12.3,23.5,24.5,30.7,57.7,735.0,710.0,710.0,870.0,3020.0,
66,HRC 30 FL,42.0,31.0,52.0,72.0,80.0,14x9x12,90.0,118.0,94.0,35.2,28.0,27.0,M10x15,M8,16.0,"M6x8,5",M6x5,P5,12.0,7.5,12.0,25.7,25.8,39.6,70.2,1105.0,950.0,950.0,1385.0,4380.0,
67,HRC 35 FL,48.0,33.0,62.0,82.0,80.0,14x9x12,100.0,136.6,111.6,40.4,34.0,32.0,M10x15,M8,16.0,M6x10,M6x7,P5,12.0,8.0,15.0,30.1,30.8,54.7,106.5,2185.0,1755.0,1755.0,2000.0,6790.0,
68,HRC 45 FL,60.0,37.5,80.0,100.0,105.0,20x14x17,120.0,171.5,138.5,50.7,45.0,39.0,M12x18,M10,19.0,"PT1/8x12,5","M6x10,5",P5,14.0,11.1,18.1,35.0,35.0,89.5,169.1,4430.0,3460.0,3460.0,4280.0,10530.0,
69,HRC 55 FL,70.0,43.5,95.0,116.0,120.0,24x16x18,140.0,202.5,165.5,58.0,53.0,46.0,M14x20,M12,20.0,"PT1/8x14,5","M6x12,5",P5,14.0,12.0,19.5,42.0,43.0,129.9,239.7,6965.0,5855.0,5855.0,7480.0,14060.0,
70,AR 15 MS,24.0,9.5,0.0,26.0,60.0,"7,5x4,5x5,3",34.0,40.8,24.2,20.1,15.0,15.0,M4x7,0,6.0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.4,10.8,80.0,40.0,40.0,95.0,1290.0,
